track_id_stable,Zach,Bryce,Maggie,Jamie,Featured Artist,Duration,Release Date,Popularity,Album,Artist,Song
Last NightMorgan Wallen,54,,,,,163854,1/31/23 0:00,75,One Thing At A Time,Morgan Wallen,Last Night
Dirty WorkSteely Dan,,54,,,,190065,11/1/72 0:00,65,Can't Buy A Thrill,Steely Dan,Dirty Work
Love Grows (Where My Rosemary Goes)Edison Lighthouse,,,54,,,174760,3/9/60 0:00,69,Love Grows (Where My Rosemary Goes) & Other Gems,Edison Lighthouse,Love Grows (Where My Rosemary Goes)
So High SchoolTaylor Swift,,,,54,,228800,4/19/24 0:00,71,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,So High School
Fast CarLuke Combs,53,,,,,265493,3/24/23 0:00,78,Gettin' Old,Luke Combs,Fast Car
The Good I'll DoZach Bryan,,53,,,,211315,5/20/22 0:00,71,American Heartbreak,Zach Bryan,The Good I'll Do
TitleMeghan Trainor,,,53,,,174733,1/9/15 0:00,58,Title (Deluxe),Meghan Trainor,Title
Bed ChemSabrina Carpenter,,,,53,,171869,8/23/24 0:00,83,Short n' Sweet,Sabrina Carpenter,Bed Chem
HeroCharlie Puth,52,,,,,196752,5/23/24 0:00,55,,Charlie Puth,Hero
Time of Day (with mgk)Jelly Roll,,52,,,mgk,191146,10/10/24 0:00,52,Beautifully Broken,Jelly Roll,Time of Day (with mgk)
So Hot You're Hurting My FeelingsCaroline Polachek,,,52,,,183861,9/16/19 0:00,60,Pang,Caroline Polachek,So Hot You're Hurting My Feelings
The FormerSteinza,,,,52,,157500,1/11/23 0:00,50,,Steinza,The Former
MESSED UP AS MEKeith Urban,51,,,,,196400,3/1/24 0:00,54,HIGH,Keith Urban,MESSED UP AS ME
American GirlDierks Bentley,,51,,,,183820,2/23/24 0:00,39,,Dierks Bentley,American Girl
Half of My HeartJohn Mayer,,,51,,,250373,11/13/09 0:00,59,Battle Studies,John Mayer,Half of My Heart
"What Was I Made For? [From The Motion Picture ""Barbie""]Billie Eilish",,,,51,,222369,7/13/23 0:00,81,,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]"
Love SomebodyMorgan Wallen,50,43,,,,204828,10/18/24 0:00,81,,Morgan Wallen,Love Somebody
Never Let You GoRAC,,50,,,Matthew Koma,224332,2/12/20 0:00,31,,RAC,Never Let You Go
Nothing From NothingBilly Preston,,,50,,,156200,1/1/74 0:00,54,The Kids & Me,Billy Preston,Nothing From Nothing
Midnight HourJamestown Revival,,,,50,,210666,10/7/16 0:00,43,The Education Of A Wandering Man,Jamestown Revival,Midnight Hour
Grow ApartGabby Barrett,49,,,,,209040,2/2/24 0:00,21,Chapter & Verse,Gabby Barrett,Grow Apart
