track_id_stable,Zach,Bryce,Maggie,Jamie,Featured Artist,Duration,Release Date,Popularity,Album,Artist,Song,Popularity_ID
"I Can't Help Myself (Sugar Pie, Honey Bunch)Four Tops",,,71,,,160280.0,1965-01-01 00:00:00,73.0,Four Tops - Second Album,Four Tops,"I Can't Help Myself (Sugar Pie, Honey Bunch)",6b6IMqP565TbtFFZg9iFf3
It Was Coming All AlongMaggie Rogers,,,,71,,207280.0,2024-04-12 00:00:00,50.0,Don't Forget Me,Maggie Rogers,It Was Coming All Along,2SSdjwuUQlkO0s6Kb4II8x
The Emptiness MachineLinkin Park,70,,,,,190427.0,2024-09-05 00:00:00,82.0,From Zero,Linkin Park,The Emptiness Machine,1EDPVGbyPKJPeGqATwXZvN
Tout au bout du mondeTibz,,70,,,,178573.0,2019-10-25 00:00:00,18.0,,Tibz,Tout au bout du monde,72nSMmmhc9ScOVgKt5TXia
SanteriaSublime,,,70,,,182746.0,1996-07-30 00:00:00,79.0,Sublime,Sublime,Santeria,2hnMS47jN0etwvFPzYk11f
I KIND OF RELATEDrake Bell,,,,70,,257118.0,2024-03-18 00:00:00,35.0,Non Stop Flight,Drake Bell,I KIND OF RELATE,7uUP4uaSx4zq5GnibE5gZR
LavishTwenty One Pilots,69,,,,,158866.0,2024-05-24 00:00:00,64.0,Clancy,Twenty One Pilots,Lavish,49oxuPnuWOL793zpF6zgLQ
ay! (feat. Lil Wayne)mgk,,69,,,Lil Wayne,124188.0,2022-03-25 00:00:00,61.0,mainstream sellout,mgk,ay! (feat. Lil Wayne),1T4tQ4SSagbhAKpvcWg035
HighroadSir Woman,,,,69,,230249.0,2019-06-11 00:00:00,58.0,,Sir Woman,Highroad,6q8nlNnBLSAn5tU6tH9Zlz
Too Good to be TrueKacey Musgraves,68,,,,,160053.0,2024-03-15 00:00:00,58.0,Deeper Well,Kacey Musgraves,Too Good to be True,27RDQ0TfxzWMlQFuKrPT11
No Role ModelzJ. Cole,,68,,,,292799.0,2014-12-09 00:00:00,85.0,2014 Forest Hills Drive,J. Cole,No Role Modelz,68Dni7IE4VyPkTOH9mRWHr
How Do You Sleep? - Radio Edit RemixJesse McCartney,,,68,,Ludacris,208333.0,2008-01-01 00:00:00,52.0,Departure - Recharged,Jesse McCartney,How Do You Sleep? - Radio Edit Remix,3jkdQNkDTxxXtjSO4l0o1H
